"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"1",1,2051,"ud",2,1,11.9856787479076,1,0,0,0,2,7,5,"outmadkit",1,"1","f48fd9a6373ba31cdf317926799c0d7b36ea5e57.csv"
"2",2,2060,"ud",2,2,10.5734502653039,1,0,0,0,2,7,5,"outmadkit",1,"1","f48fd9a6373ba31cdf317926799c0d7b36ea5e57.csv"
"3",3,2003,"cd",1,1,1.01920203195565,0,0,4,1,4,7,5,"outmadkit",1,"1","f48fd9a6373ba31cdf317926799c0d7b36ea5e57.csv"
"4",4,2012,"cd",2,2,20.9499268535821,0,0,2,2,2,7,5,"outmadkit",1,"1","f48fd9a6373ba31cdf317926799c0d7b36ea5e57.csv"
"5",5,2019,"cd",2,3,12.1826524249332,0,0,2,3,2,7,5,"outmadkit",1,"1","f48fd9a6373ba31cdf317926799c0d7b36ea5e57.csv"
"6",1,145140,"ud",2,2,16.9105835467043,1,0,0,0,2,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"7",2,145149,"ud",2,1,19.1251790281871,2,0,0,0,3,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"8",3,145078,"hl",1,2,7.41051335027168,0,24,0,0,25,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"9",4,145111,"hl",2,1,54.8181071357438,0,21,0,0,19,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"10",5,144946,"cd",1,8,2.17784796410129,0,0,3,2,3,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"11",6,144954,"cd",1,9,2.22977150187913,0,0,4,2,4,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"12",7,144963,"cd",1,1,2.13860150909984,0,0,4,1,4,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"13",8,144972,"cd",1,5,1.46518684230231,0,0,2,2,2,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"14",9,144979,"cd",1,7,1.28639915641271,0,0,3,2,3,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"15",10,144987,"cd",1,4,1.06485843219422,0,0,2,2,2,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"16",11,144994,"cd",2,6,24.0444894375419,0,0,3,2,3,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"17",12,145002,"cd",2,3,18.7604269641737,0,0,2,2,2,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"18",13,145009,"cd",2,2,28.9018566840538,0,0,2,2,2,46,12,"outmadkit",2,"10","8320154893c7eb67ed5e2eb26921bc5635ebee85.csv"
"19",1,159705,"ud",2,2,16.9119112796952,1,0,0,0,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"20",2,159714,"ud",2,1,19.179492927421,2,0,0,0,3,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"21",3,159645,"hl",1,2,7.09786861608676,0,22,0,0,23,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"22",4,159676,"hl",2,1,55.0654604079508,0,21,0,0,19,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"23",5,159500,"cd",1,2,1.26115450355319,0,0,2,1,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"24",6,159507,"cd",1,4,1.97283971062441,0,0,3,1,3,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"25",7,159515,"cd",1,5,2.05114532555902,0,0,4,1,4,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"26",8,159524,"cd",1,1,1.43704232204444,0,0,2,1,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"27",9,159531,"cd",1,3,1.25041331205695,0,0,3,1,3,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"28",10,159539,"cd",1,8,1.08654385213475,0,0,2,3,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"29",11,159546,"cd",2,7,29.0355778941189,0,0,2,3,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"30",12,159553,"cd",2,9,20.9973486214032,0,0,2,5,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"31",13,159560,"cd",2,6,18.7672518805656,0,0,2,2,2,44,12,"outmadkit",3,"11","dbd6c23e7b58805a4ed9c6d731c2436c36f06d26.csv"
"32",1,174093,"ud",2,3,17.055584281418,1,0,0,0,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"33",2,174102,"ud",2,2,16.4554157353386,1,0,0,0,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"34",3,174111,"ud",2,1,15.9522170892453,1,0,0,0,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"35",4,174033,"hl",1,2,7.03883239079653,0,22,0,0,23,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"36",5,174064,"hl",2,1,55.7479809092291,0,21,0,0,19,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"37",6,173893,"cd",1,4,2.06581367374065,0,0,4,1,4,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"38",7,173902,"cd",1,3,2.01042521755107,0,0,3,1,3,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"39",8,173910,"cd",1,5,2.26833212044958,0,0,5,1,5,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"40",9,173920,"cd",1,1,1.46800102679977,0,0,2,1,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"41",10,173927,"cd",1,2,1.29098409660564,0,0,3,1,3,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"42",11,173935,"cd",1,8,1.07500493822093,0,0,2,3,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"43",12,173942,"cd",2,9,21.1717405520395,0,0,2,5,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"44",13,173949,"cd",2,7,29.394843746135,0,0,2,3,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"45",14,173956,"cd",2,6,18.9650061676942,0,0,2,2,2,44,13,"outmadkit",4,"12","5028754cbca9415b6af6634a721d6a0da3013886.csv"
"46",1,189172,"ud",2,2,17.1709289952002,1,0,0,0,2,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"47",2,189181,"ud",2,1,19.7201690641642,2,0,0,0,3,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"48",3,189112,"hl",1,2,7.03628979133232,0,22,0,0,23,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"49",4,189143,"hl",2,1,57.3162259698061,0,21,0,0,19,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"50",5,188972,"cd",1,3,2.01035161999284,0,0,3,1,3,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"51",6,188980,"cd",1,5,2.26813166816005,0,0,5,1,5,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"52",7,188990,"cd",1,4,2.06503810121464,0,0,4,1,4,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"53",8,188999,"cd",1,1,1.46793715021694,0,0,2,1,2,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"54",9,189006,"cd",1,2,1.29098298457909,0,0,3,1,3,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"55",10,189014,"cd",1,8,1.07493173218287,0,0,2,3,2,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"56",11,189021,"cd",2,9,21.3164786290961,0,0,2,5,2,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"57",12,189028,"cd",2,6,19.2798049482891,0,0,2,2,2,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"58",13,189035,"cd",2,7,29.6183356319762,0,0,2,3,2,44,13,"outmadkit",5,"13","aea347d92302c5c0952199ef5b3aceb8e7635304.csv"
"59",1,204918,"ud",2,2,17.3931234289598,1,0,0,0,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"60",2,204927,"ud",2,1,19.9305701733668,2,0,0,0,3,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"61",3,204856,"hl",1,1,7.02790318041523,0,22,0,0,23,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"62",4,204887,"hl",2,2,58.6066132427016,0,23,0,0,21,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"63",5,204707,"cd",1,2,1.23902941024352,0,0,2,1,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"64",6,204714,"cd",1,5,2.54886734009955,0,0,6,1,6,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"65",7,204725,"cd",1,4,2.46433503249086,0,0,5,1,5,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"66",8,204735,"cd",1,3,1.356768636028,0,0,3,1,3,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"67",9,204743,"cd",1,1,1.3844203299707,0,0,2,1,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"68",10,204750,"cd",1,8,1.06517913970063,0,0,2,3,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"69",11,204757,"cd",2,9,21.549415616354,0,0,2,5,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"70",12,204764,"cd",2,6,19.5229345147269,0,0,2,2,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"71",13,204771,"cd",2,7,30.0243497783517,0,0,2,3,2,46,13,"outmadkit",6,"14","09e1cae6cc18bcaf06f47b0496600911e1a0baab.csv"
"72",1,220223,"ud",2,2,17.5257954530235,1,0,0,0,2,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"73",2,220232,"ud",2,1,20.0965636611356,2,0,0,0,3,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"74",3,220161,"hl",1,1,7.02790318041523,0,22,0,0,23,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"75",4,220192,"hl",2,2,59.0133640289983,0,23,0,0,21,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"76",5,220009,"cd",1,2,1.23902941024352,0,0,2,1,2,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"77",6,220016,"cd",1,6,2.54886734009955,0,0,6,1,6,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"78",7,220027,"cd",1,5,2.46433503249086,0,0,5,1,5,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"79",8,220037,"cd",1,4,1.356768636028,0,0,3,1,3,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"80",9,220045,"cd",1,1,1.3844203299707,0,0,2,1,2,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"81",10,220052,"cd",1,9,1.06517913970063,0,0,2,3,2,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"82",11,220059,"cd",2,10,30.8523398789559,0,0,2,5,2,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"83",12,220066,"cd",2,8,23.9885205916458,0,0,3,2,3,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"84",13,220074,"cd",2,7,19.7892695645548,0,0,2,2,2,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"85",14,220081,"cd",2,3,34.3909965448479,0,0,3,1,3,46,13,"outmadkit",7,"15","1aeeb569cd6e2631aee591342211c46be5311cef.csv"
"86",1,236105,"ud",2,2,17.4280973909352,1,0,0,0,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"87",2,236114,"ud",2,1,19.9677931687159,2,0,0,0,3,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"88",3,236043,"hl",1,1,7.02943849291523,0,22,0,0,23,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"89",4,236074,"hl",2,2,58.7231888542386,0,23,0,0,21,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"90",5,235894,"cd",1,2,1.23902941024352,0,0,2,1,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"91",6,235901,"cd",1,5,2.54886734009955,0,0,6,1,6,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"92",7,235912,"cd",1,4,2.46433503249086,0,0,5,1,5,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"93",8,235922,"cd",1,3,1.356768636028,0,0,3,1,3,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"94",9,235930,"cd",1,1,1.3844203299707,0,0,2,1,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"95",10,235937,"cd",1,8,1.06517913970063,0,0,2,3,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"96",11,235944,"cd",2,9,21.5880197780085,0,0,2,5,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"97",12,235951,"cd",2,6,19.560420606912,0,0,2,2,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"98",13,235958,"cd",2,7,30.0898453710526,0,0,2,3,2,46,13,"outmadkit",8,"16","530790bf1060264b504bac9a17f54b794ae8df22.csv"
"99",1,251653,"ud",2,2,18.7736179351993,1,0,0,0,2,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"100",2,251662,"ud",2,1,22.2374606293775,3,0,0,0,4,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"101",3,251590,"hl",1,1,6.94522455094965,0,22,0,0,23,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"102",4,251621,"hl",2,2,62.5473329087319,0,24,0,0,22,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"103",5,251444,"cd",1,5,2.58112132202515,0,0,6,1,6,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"104",6,251455,"cd",1,4,2.51482481811187,0,0,5,1,5,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"105",7,251465,"cd",1,6,2.7851078778189,0,0,7,1,7,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"106",8,251477,"cd",1,3,1.44221893387555,0,0,3,1,3,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"107",9,251485,"cd",1,2,1.39952194502079,0,0,2,1,2,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
